produto;descricao;b_o;mat_med;fornecedor;comprador;primeira_filial_rota;filial_dest;sigla_dest;empresa_dest;grupo_tributacao;flag_tributacao;rota;codigo;gui_semana_saida;gui_semana_chegada;modo_compra;dia_sugerido_pedido;qtd_comprada;preco_total;status
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;256;417.28;-
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;128;208.64;-
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;127;207.01;-
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;2211;3382.83;-
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;1842;2818.26;-
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;921;1409.13;-
19489;EQUIPO MACRO NUTRICAO ENTERAL L.SLIP UND;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;921;1409.13;-
19726;ATADURA ALG. ORT. 15CM X 1.8M PCT C/12 CREMER 156850;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;204;2392.51;-
19726;ATADURA ALG. ORT. 15CM X 1.8M PCT C/12 CREMER 156850;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;243;2849.9;-
19726;ATADURA ALG. ORT. 15CM X 1.8M PCT C/12 CREMER 156850;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;1055;12143.05;-
19726;ATADURA ALG. ORT. 15CM X 1.8M PCT C/12 CREMER 156850;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1041;11981.91;-
19727;ATADURA CREPE 10CMX4.5M (1.8M) 13F PCT 12 UNID;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;2;26;-
19727;ATADURA CREPE 10CMX4.5M (1.8M) 13F PCT 12 UNID;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;4;48.92;-
19727;ATADURA CREPE 10CMX4.5M (1.8M) 13F PCT 12 UNID;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;7;85.61;-
19732;COMPRESSA DE GAZE C/10 7.5X7.5 13F EST. ETO 194579;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;24170;21511.3;-
19732;COMPRESSA DE GAZE C/10 7.5X7.5 13F EST. ETO 194579;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;39043;34748.27;-
19732;COMPRESSA DE GAZE C/10 7.5X7.5 13F EST. ETO 194579;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;85601;75328.88;-
19732;COMPRESSA DE GAZE C/10 7.5X7.5 13F EST. ETO 194579;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;131891;116064.08;-
19733;COMPRESSA DE GAZE C/05 7.5X7.5 11F EST. ETO CREMER;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;1014;436.45;-
19733;COMPRESSA DE GAZE C/05 7.5X7.5 11F EST. ETO CREMER;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;6377;2744.82;-
19780;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198454;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;1142;5276.04;-
19780;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198454;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1383;6389.46;-
19780;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198454;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;400;1680;-
19780;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198454;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;744;3124.8;-
19781;ATADURA CREPE 8CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198461;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;158;939.87;-
19781;ATADURA CREPE 8CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198461;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;138;820.9;-
19781;ATADURA CREPE 8CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198461;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;311;1850.01;-
19781;ATADURA CREPE 8CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198461;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;293;1742.93;-
19782;ATADURA CREPE 10CMX4.5M(1.8M) 13F PCT C/06 CYSNE;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;794;5192.76;-
19782;ATADURA CREPE 10CMX4.5M(1.8M) 13F PCT C/06 CYSNE;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;699;4571.46;-
19782;ATADURA CREPE 10CMX4.5M(1.8M) 13F PCT C/06 CYSNE;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;1720;10629.6;-
19783;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198485;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;238;1884.96;-
19783;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198485;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;209;1655.28;-
19783;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198485;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;249;1972.08;-
19783;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198485;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;219;1734.48;-
19784;ATADURA CREPE 15CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198492;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;264;2385.5;-
19784;ATADURA CREPE 15CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198492;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 12%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1131;10219.72;-
19784;ATADURA CREPE 15CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198492;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;3281;29529;-
19784;ATADURA CREPE 15CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198492;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 12%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;5641;50769;-
19785;ATADURA CREPE 20CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198508;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;784;8561.28;-
19785;ATADURA CREPE 20CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198508;Não;MAT;CREMER;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1319;14403.48;-
19785;ATADURA CREPE 20CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198508;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;1459;16282.44;-
19787;ATADURA CREPE 30CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198522;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;661;10985.82;-
19787;ATADURA CREPE 30CMX4.5M(1.8M) 13F PCT C/06 CYSNE 198522;Não;MAT;CREMER;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S2 (17/02/2025 - 23/02/2025);S5 (10/03/2025 - 16/03/2025);Direta;45709;741;12315.42;-
19991;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I1;1002;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;60;522.65;-
19991;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;168;1297.25;-
19991;ATADURA ALG. ORT. 15CM X 1.0M PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;68;546.16;-
20005;ATADURA ELASTICA NEVADA 15CMX2.2M NEVE;Não;MAT;NEVE;PLANEJ CREMER;1006;1006;Mafra - CAJ;Mafra;Importado;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;184;1932.12;-
20005;ATADURA ELASTICA NEVADA 15CMX2.2M NEVE;Não;MAT;NEVE;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Importado;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;2;20.83;-
20005;ATADURA ELASTICA NEVADA 15CMX2.2M NEVE;Não;MAT;NEVE;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Importado;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;76;769.01;-
20005;ATADURA ELASTICA NEVADA 15CMX2.2M NEVE;Não;MAT;NEVE;PLANEJ CREMER;1002;1002;Mafra - LDA;Mafra;Importado;I1;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;55;556.52;-
20020;COMPRESSA ESTERIL SAFE 7.5X7.5 11F PCT C/10 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1002;1002;Mafra - LDA;Mafra;Nacional 12%;I1;1002;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;3111;1534.3;-
20020;COMPRESSA ESTERIL SAFE 7.5X7.5 11F PCT C/10 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1006;1006;Mafra - CAJ;Mafra;Nacional 12%;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;1527;931.52;-
20036;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;664;2366.78;-
20036;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;271;960;-
20036;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;548;1960.79;-
20036;ATADURA CREPE 06CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I1;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;180;644.05;-
20038;ATADURA CREPE 08CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;131;557.03;-
20038;ATADURA CREPE 08CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1010;1010;Mafra - REC;Mafra;Nacional 7%;I1;1010;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;45;181.95;-
20038;ATADURA CREPE 08CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;46;0;-
20038;ATADURA CREPE 08CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I1;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;126;0;-
20038;ATADURA CREPE 08CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;73;0;-
20039;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45702;484;2807.35;-
20039;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I1;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;208;1206.46;-
20039;ATADURA CREPE 12CMX4.5M(1.8M) 13F PCT C/12 NEVE;Não;MAT;NEVE;PLANEJ CREMER;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I1;1021;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;35;203.01;-
20172;FIXADOR P/CATETER CENTRAL 3M IV 8.9X11.5CM 1655BR CX/50;Não;MAT;3M;JONNATHAN;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I1;1006;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;16;16;-
20172;FIXADOR P/CATETER CENTRAL 3M IV 8.9X11.5CM 1655BR CX/50;Não;MAT;3M;JONNATHAN;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I1;1006;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;14;14;-
20172;FIXADOR P/CATETER CENTRAL 3M IV 8.9X11.5CM 1655BR CX/50;Não;MAT;3M;JONNATHAN;1010;1010;Mafra - REC;Mafra;Nacional 7%;I1;1010;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;9;9;-
20172;FIXADOR P/CATETER CENTRAL 3M IV 8.9X11.5CM 1655BR CX/50;Não;MAT;3M;JONNATHAN;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;37;37;-
20172;FIXADOR P/CATETER CENTRAL 3M IV 8.9X11.5CM 1655BR CX/50;Não;MAT;3M;JONNATHAN;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;8;8;-
20332;FILME TRANSPARENTE 3M TEGAD.ROLO 5CMX10M 16005-10;Não;MAT;3M;JONNATHAN;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I1;1006;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;19;10161.2;-
20332;FILME TRANSPARENTE 3M TEGAD.ROLO 5CMX10M 16005-10;Não;MAT;3M;JONNATHAN;1036;1036;Mafra - DF2;Mafra;Nacional 7%;I1;1036;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;4;1427.47;-
20412;ORENCIA 250MG FA BRISTOL-MYERS SQUIBB (G);Não;MED;BRISTOL;TERESA;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I3;1006;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45723;154;286309.1;-
20412;ORENCIA 250MG FA BRISTOL-MYERS SQUIBB (G);Não;MED;BRISTOL;TERESA;1021;1021;Mafra - NSR;Mafra;Nacional 7%;I3;1021;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45723;78;153251.28;-
20412;ORENCIA 250MG FA BRISTOL-MYERS SQUIBB (G);Não;MED;BRISTOL;TERESA;1023;1023;Mafra - RJ;Mafra;Nacional 7%;I3;1023;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45723;22;40901.3;-
20412;ORENCIA 250MG FA BRISTOL-MYERS SQUIBB (G);Não;MED;BRISTOL;TERESA;1024;1024;Mafra - RN;Mafra;Nacional 7%;I3;1024;0;S4 (01/03/2025 - 09/03/2025);S5 (10/03/2025 - 16/03/2025);Direta;45723;354;658139.1;-
20445;EXJADE 500MG CX 28CP SUSP NOVARTIS;Não;MED;NOVARTIS;ANDREW;1036;1036;Mafra - DF2;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;I3;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;2;6962.74;-
20471;NEO DECAPEPTYL LP 11.25MG FA 2ML ACHE;Não;MED;LABOFARMA;BRUNA;1002;1002;Mafra - LDA;Mafra;Isento - Convênio 162/94 - Antigos - Exc. GO;NT;1002;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;1;1568.76;-
20550;TYGACIL 50MG CX 10FA PFIZER;Não;MED;PFIZER;TERESA;1006;1006;Mafra - CAJ;Mafra;Importado;I2;1006;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;20;38193.6;-
20550;TYGACIL 50MG CX 10FA PFIZER;Não;MED;PFIZER;TERESA;1036;1036;Mafra - DF2;Mafra;Importado;I2;1036;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;4;6524.72;-
20550;TYGACIL 50MG CX 10FA PFIZER;Não;MED;PFIZER;TERESA;1036;1036;Mafra - DF2;Mafra;Importado;I2;1036;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;5;8155.9;-
20550;TYGACIL 50MG CX 10FA PFIZER;Não;MED;PFIZER;TERESA;1036;1036;Mafra - DF2;Mafra;Importado;I2;1036;0;S4 (01/03/2025 - 09/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45723;1;1631.18;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I3;1002;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;38;409.69;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I3;1002;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;872;9401.41;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1002;1002;Mafra - LDA;Mafra;Nacional 7%;I3;1002;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;290;3126.61;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I3;1006;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;9820;102717.2;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I3;1006;0;S4 (01/03/2025 - 09/03/2025);S6 (17/03/2025 - 23/03/2025);Direta;45723;4523;47310.58;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1006;1006;Mafra - CAJ;Mafra;Nacional 7%;I3;1006;0;S5 (10/03/2025 - 16/03/2025);S7 (24/03/2025 - 31/03/2025);Direta;45730;4523;47310.58;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1010;1010;Mafra - REC;Mafra;Nacional 7%;I3;1010;0;S1 (10/02/2025 - 16/02/2025);S3 (24/02/2025 - 28/02/2025);Direta;45702;2900;31262;-
21749;DECADRON 4MG/ML FA 2.5ML ACHE;Não;MED;LABOFARMA;BRUNA;1010;1010;Mafra - REC;Mafra;Nacional 7%;I3;1010;0;S2 (17/02/2025 - 23/02/2025);S4 (01/03/2025 - 09/03/2025);Direta;45709;3624;39066.72;-
